Umur (minggu),Perusahaan,Jenis,Konsumsi (g/hari),Konsumsi (g/minggu),Konsumsi/(BB^0.75) (g/minggu),Bobot badan (g),Bobot badan^0.75 (g),Konsumsi Kalsium/BB^0.75 (g/minggu),Konsumsi fosfor tersedia/BB^0.75 (g/minggu),Konsumsi fosfor/BB^0.75 (g/minggu)
13,Lohmann tierzucht,Lohmann silver,72,504,86.36,1160,198.77,0.78,0.32,0.5
14,Lohmann tierzucht,Lohmann silver,75,525,88.47,1240,208.96,0.8,0.33,0.51
15,Lohmann tierzucht,Lohmann silver,78,546,90.84,1305,217.12,0.82,0.34,0.53
16,Lohmann tierzucht,Lohmann silver,81,567,93.11,1375,225.8,0.84,0.34,0.54
17,Lohmann tierzucht,Lohmann silver,85,595,96.51,1445,234.37,1.93,0.43,0.63
18,Lohmann tierzucht,Lohmann silver,89,623,99.78,1520,243.43,2,0.45,0.65
19,Lohmann tierzucht,Lohmann silver,100,700,110.68,1600,252.98,2.21,0.5,0.72
20,Lohmann tierzucht,Lohmann silver,106,770,120.27,1680,262.41,2.41,0.54,0.78
21,Lohmann tierzucht,Lohmann silver,110,770,119.05,1750,270.57,2.38,0.54,0.77
22,Lohmann tierzucht,Lohmann silver,113,791,120.35,1827,283.91,2.41,0.54,0.78
23,Lohmann tierzucht,Lohmann silver,114,798,120.79,1866,288.35,2.42,0.54,0.79
24,Lohmann tierzucht,Lohmann silver,114,798,120.55,1905,290.05,2.41,0.54,0.78
25,Lohmann tierzucht,Lohmann silver,114,798,120.55,1920,290.05,2.41,0.54,0.78
26,Lohmann tierzucht,Lohmann silver,114,798,120.32,1935,291.75,2.41,0.54,0.78
27,Lohmann tierzucht,Lohmann silver,114,798,120.24,1940,292.32,2.4,0.54,0.78
28,Lohmann tierzucht,Lohmann silver,114,798,120.16,1945,292.88,2.4,0.54,0.78
29,Lohmann tierzucht,Lohmann silver,114,798,120.09,1950,293.44,2.4,0.54,0.78
30,Lohmann tierzucht,Lohmann silver,115,805,121.06,1955,294.01,2.42,0.54,0.79
31,Lohmann tierzucht,Lohmann silver,115,805,121.02,1958,294.35,2.42,0.54,0.79
32,Lohmann tierzucht,Lohmann silver,115,805,120.97,1961,294.69,2.42,0.54,0.79
33,Lohmann tierzucht,Lohmann silver,115,805,120.92,1964,295.02,2.42,0.54,0.79
34,Lohmann tierzucht,Lohmann silver,105,735,110.37,1967,295.36,2.21,0.5,0.72
35,Lohmann tierzucht,Lohmann silver,105,735,110.32,1970,295.7,2.21,0.5,0.72
1,Lohmann tierzucht,Lohmann LSL classic,10,70,23.79,75,25.49,0.25,0.11,0.18
2,Lohmann tierzucht,Lohmann LSL classic,17,119,35.59,125,37.38,0.37,0.17,0.27
3,Lohmann tierzucht,Lohmann LSL classic,23,161,43.54,187,50.57,0.46,0.21,0.33
4,Lohmann tierzucht,Lohmann LSL classic,29,203,50.7,257,64.19,0.51,0.23,0.35
5,Lohmann tierzucht,Lohmann LSL classic,34,238,55.55,337,78.65,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann LSL classic,37,259,56.91,429,94.26,0.57,0.26,0.4
7,Lohmann tierzucht,Lohmann LSL classic,41,287,59.84,529,110.3,0.6,0.27,0.42
8,Lohmann tierzucht,Lohmann LSL classic,45,315,63.03,624,124.85,0.63,0.28,0.44
9,Lohmann tierzucht,Lohmann LSL classic,49,343,66.24,719,138.85,0.6,0.25,0.38
10,Lohmann tierzucht,Lohmann LSL classic,53,371,69.56,809,151.69,0.63,0.26,0.4
11,Lohmann tierzucht,Lohmann LSL classic,56,392,71.83,887,162.53,0.65,0.27,0.42
12,Lohmann tierzucht,Lohmann LSL classic,60,420,75.51,957,172.06,0.68,0.28,0.44
13,Lohmann tierzucht,Lohmann LSL classic,64,448,79.33,1017,180.09,0.71,0.29,0.46
14,Lohmann tierzucht,Lohmann LSL classic,67,469,81.96,1072,187.35,0.74,0.3,0.48
15,Lohmann tierzucht,Lohmann LSL classic,70,490,84.66,1122,193.86,0.76,0.31,0.49
16,Lohmann tierzucht,Lohmann LSL classic,73,511,87.43,1167,199.67,0.79,0.32,0.51
17,Lohmann tierzucht,Lohmann LSL classic,76,532,90.13,1214,205.67,0.81,0.33,0.52
18,Lohmann tierzucht,Lohmann LSL classic,79,553,92.74,1264,211.99,1.85,0.42,0.6
19,Lohmann tierzucht,Lohmann LSL classic,84,588,97.51,1322,219.24,1.95,0.44,0.63
20,Lohmann tierzucht,Lohmann LSL classic,100,700,114.72,1386,227.16,2.29,0.52,0.75
21,Lohmann tierzucht,Lohmann LSL classic,106,742,120.24,1450,234.98,2.4,0.54,0.78
22,Lohmann tierzucht,Lohmann LSL classic,110,770,123.73,1500,241.03,2.47,0.56,0.8
23,Lohmann tierzucht,Lohmann LSL classic,113,791,126.27,1540,245.83,2.53,0.57,0.82
24,Lohmann tierzucht,Lohmann LSL classic,114,798,126.57,1580,250.61,2.53,0.57,0.82
25,Lohmann tierzucht,Lohmann LSL classic,114,798,125.98,1610,254.17,2.52,0.57,0.82
26,Lohmann tierzucht,Lohmann LSL classic,114,798,125.59,1630,256.53,2.51,0.57,0.82
27,Lohmann tierzucht,Lohmann LSL classic,114,798,125.21,1650,258.89,2.5,0.56,0.81
28,Lohmann tierzucht,Lohmann LSL classic,114,798,124.83,1670,261.24,2.5,0.56,0.81
29,Lohmann tierzucht,Lohmann LSL classic,114,798,124.46,1690,263.58,2.49,0.56,0.81
30,Lohmann tierzucht,Lohmann LSL classic,114,798,124.28,1700,264.75,2.49,0.56,0.81
31,Lohmann tierzucht,Lohmann LSL classic,115,805,125.28,1705,265.33,2.51,0.56,0.81
32,Lohmann tierzucht,Lohmann LSL classic,115,805,125.18,1710,265.92,2.5,0.56,0.81
33,Lohmann tierzucht,Lohmann LSL classic,115,805,125.13,1713,266.27,2.5,0.56,0.81
34,Lohmann tierzucht,Lohmann LSL classic,115,805,125.09,1715,266.5,2.5,0.56,0.81
35,Lohmann tierzucht,Lohmann LSL classic,105,735,114.16,1718,266.85,2.28,0.51,0.74
1,Lohmann tierzucht,Lohmann LSL extra,10,70,23.79,75,25.49,0.25,0.11,0.18
2,Lohmann tierzucht,Lohmann LSL extra,17,119,35.95,120,36.26,0.38,0.17,0.27
3,Lohmann tierzucht,Lohmann LSL extra,23,161,42.81,200,53.18,0.45,0.21,0.32
4,Lohmann tierzucht,Lohmann LSL extra,29,203,49.85,275,67.53,0.5,0.22,0.35
5,Lohmann tierzucht,Lohmann LSL extra,35,245,56.25,360,82.65,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann LSL extra,40,280,60.53,458,99,0.61,0.27,0.42
7,Lohmann tierzucht,Lohmann LSL extra,44,308,63.17,565,115.89,0.63,0.28,0.44
8,Lohmann tierzucht,Lohmann LSL extra,48,336,66.14,666,131.1,0.66,0.3,0.46
9,Lohmann tierzucht,Lohmann LSL extra,52,364,69.17,767,145.75,0.62,0.26,0.4
10,Lohmann tierzucht,Lohmann LSL extra,56,392,72.32,863,159.22,0.65,0.27,0.42
11,Lohmann tierzucht,Lohmann LSL extra,60,420,75.73,946,170.58,0.68,0.28,0.44
12,Lohmann tierzucht,Lohmann LSL extra,64,448,79.25,1021,180.62,0.71,0.29,0.46
13,Lohmann tierzucht,Lohmann LSL extra,67,469,81.72,1085,189.05,0.74,0.3,0.47
14,Lohmann tierzucht,Lohmann LSL extra,70,490,84.25,1144,196.71,0.76,0.31,0.49
15,Lohmann tierzucht,Lohmann LSL extra,73,511,86.88,1197,203.5,0.78,0.32,0.5
16,Lohmann tierzucht,Lohmann LSL extra,76,532,89.56,1245,209.59,0.81,0.33,0.52
17,Lohmann tierzucht,Lohmann LSL extra,79,553,92.18,1295,215.87,0.83,0.34,0.53
18,Lohmann tierzucht,Lohmann LSL extra,83,581,95.89,1348,222.47,1.92,0.43,0.62
19,Lohmann tierzucht,Lohmann LSL extra,88,616,100.53,1410,230.1,2.01,0.45,0.65
20,Lohmann tierzucht,Lohmann LSL extra,100,700,112.9,1478,238.37,2.26,0.51,0.73
21,Lohmann tierzucht,Lohmann LSL extra,106,742,118.39,1543,246.19,2.37,0.53,0.77
22,Lohmann tierzucht,Lohmann LSL extra,110,770,121.88,1593,252.15,2.44,0.55,0.79
23,Lohmann tierzucht,Lohmann LSL extra,113,791,124.43,1633,256.89,2.49,0.56,0.81
24,Lohmann tierzucht,Lohmann LSL extra,114,798,124.87,1668,261,2.5,0.56,0.81
25,Lohmann tierzucht,Lohmann LSL extra,114,798,124.31,1698,264.52,2.49,0.56,0.81
26,Lohmann tierzucht,Lohmann LSL extra,114,798,123.86,1723,267.43,2.48,0.56,0.81
27,Lohmann tierzucht,Lohmann LSL extra,114,798,123.5,1743,269.76,2.47,0.56,0.8
28,Lohmann tierzucht,Lohmann LSL extra,114,798,123.24,1758,271.5,2.46,0.55,0.8
29,Lohmann tierzucht,Lohmann LSL extra,114,798,123.06,1768,272.65,2.46,0.55,0.8
30,Lohmann tierzucht,Lohmann LSL extra,114,798,122.94,1775,273.46,2.46,0.55,0.8
31,Lohmann tierzucht,Lohmann LSL extra,115,805,123.93,1780,274.04,2.48,0.56,0.81
32,Lohmann tierzucht,Lohmann LSL extra,115,805,123.88,1783,274.39,2.48,0.56,0.81
33,Lohmann tierzucht,Lohmann LSL extra,115,805,123.83,1786,274.73,2.48,0.56,0.8
34,Lohmann tierzucht,Lohmann LSL extra,115,805,123.78,1789,275.08,2.48,0.56,0.8
35,Lohmann tierzucht,Lohmann LSL extra,105,735,112.97,1792,275.43,2.26,0.51,0.73
1,Lohmann tierzucht,Lohmann LSL lite,10,70,24.2,70,24.2,0.25,0.12,0.18
2,Lohmann tierzucht,Lohmann LSL lite,12,84,25.38,120,36.26,0.27,0.12,0.19
3,Lohmann tierzucht,Lohmann LSL lite,23,161,43.65,185,50.16,0.46,0.21,0.33
4,Lohmann tierzucht,Lohmann LSL lite,29,203,50.8,255,63.81,0.51,0.23,0.36
5,Lohmann tierzucht,Lohmann LSL lite,34,238,55.67,334,78.13,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann LSL lite,38,266,58.58,425,93.6,0.59,0.26,0.41
7,Lohmann tierzucht,Lohmann LSL lite,42,294,61.45,524,109.52,0.61,0.28,0.43
8,Lohmann tierzucht,Lohmann LSL lite,46,322,64.14,635,126.5,0.64,0.29,0.45
9,Lohmann tierzucht,Lohmann LSL lite,49,343,65.88,735,141.16,0.59,0.24,0.38
10,Lohmann tierzucht,Lohmann LSL lite,52,364,67.92,825,153.94,0.61,0.25,0.39
11,Lohmann tierzucht,Lohmann LSL lite,55,385,70.41,894,163.49,0.63,0.26,0.41
12,Lohmann tierzucht,Lohmann LSL lite,58,406,72.96,959,172.33,0.66,0.27,0.42
13,Lohmann tierzucht,Lohmann LSL lite,61,427,75.5,1023,180.89,0.68,0.28,0.44
14,Lohmann tierzucht,Lohmann LSL lite,64,448,78.08,1084,188.92,0.7,0.29,0.45
15,Lohmann tierzucht,Lohmann LSL lite,67,469,80.66,1143,196.58,0.73,0.3,0.47
16,Lohmann tierzucht,Lohmann LSL lite,71,497,84.44,1200,203.89,0.76,0.31,0.49
17,Lohmann tierzucht,Lohmann LSL lite,75,525,88.21,1255,210.85,0.79,0.33,0.51
18,Lohmann tierzucht,Lohmann LSL lite,79,553,91.99,1306,217.25,1.84,0.41,0.6
19,Lohmann tierzucht,Lohmann LSL lite,83,581,95.74,1356,223.46,1.91,0.43,0.62
20,Lohmann tierzucht,Lohmann LSL lite,100,700,114.33,1405,229.49,2.29,0.51,0.74
21,Lohmann tierzucht,Lohmann LSL lite,106,742,120.2,1452,235.22,2.4,0.54,0.78
22,Lohmann tierzucht,Lohmann LSL lite,110,770,123.79,1497,240.67,2.48,0.56,0.8
23,Lohmann tierzucht,Lohmann LSL lite,113,791,126.31,1538,245.59,2.53,0.57,0.82
24,Lohmann tierzucht,Lohmann LSL lite,114,798,126.67,1575,250.01,2.53,0.57,0.82
25,Lohmann tierzucht,Lohmann LSL lite,114,798,126.02,1608,253.93,2.52,0.57,0.82
26,Lohmann tierzucht,Lohmann LSL lite,114,798,125.63,1628,256.3,2.51,0.57,0.82
27,Lohmann tierzucht,Lohmann LSL lite,114,798,125.42,1639,257.59,2.51,0.56,0.82
28,Lohmann tierzucht,Lohmann LSL lite,114,798,125.3,1645,258.3,2.51,0.56,0.81
29,Lohmann tierzucht,Lohmann LSL lite,114,798,125.23,1649,258.77,2.5,0.56,0.81
30,Lohmann tierzucht,Lohmann LSL lite,114,798,125.19,1651,259.01,2.5,0.56,0.81
31,Lohmann tierzucht,Lohmann LSL lite,115,805,126.25,1653,259.24,2.52,0.57,0.82
32,Lohmann tierzucht,Lohmann LSL lite,115,805,126.21,1655,259.48,2.52,0.57,0.82
33,Lohmann tierzucht,Lohmann LSL lite,115,805,126.17,1657,259.71,2.52,0.57,0.82
34,Lohmann tierzucht,Lohmann LSL lite,115,805,126.15,1658,259.83,2.52,0.57,0.82
35,Lohmann tierzucht,Lohmann LSL lite,105,735,115.15,1660,260.06,2.3,0.52,0.75
1,Lohmann tierzucht,Lohmann LSL lite NA,10,70,24.2,70,24.2,0.25,0.12,0.18
2,Lohmann tierzucht,Lohmann LSL lite NA,17,119,35.95,120,36.26,0.38,0.17,0.27
3,Lohmann tierzucht,Lohmann LSL lite NA,23,161,43.65,185,50.16,0.46,0.21,0.33
4,Lohmann tierzucht,Lohmann LSL lite NA,28,196,49.05,255,63.81,0.49,0.22,0.34
5,Lohmann tierzucht,Lohmann LSL lite NA,33,231,54.04,334,78.13,0.54,0.24,0.38
6,Lohmann tierzucht,Lohmann LSL lite NA,37,259,57.04,425,93.6,0.57,0.26,0.4
7,Lohmann tierzucht,Lohmann LSL lite NA,41,287,59.99,524,109.52,0.6,0.27,0.42
8,Lohmann tierzucht,Lohmann LSL lite NA,44,308,61.48,630,125.75,0.61,0.28,0.43
9,Lohmann tierzucht,Lohmann LSL lite NA,47,329,63.25,732,140.73,0.57,0.23,0.37
10,Lohmann tierzucht,Lohmann LSL lite NA,50,350,65.41,820,153.24,0.59,0.24,0.38
11,Lohmann tierzucht,Lohmann LSL lite NA,53,371,67.94,889,162.81,0.61,0.25,0.39
12,Lohmann tierzucht,Lohmann LSL lite NA,56,392,70.52,955,171.79,0.63,0.26,0.41
13,Lohmann tierzucht,Lohmann LSL lite NA,59,413,73.1,1019,180.36,0.66,0.27,0.42
14,Lohmann tierzucht,Lohmann LSL lite NA,62,434,75.69,1081,188.53,0.68,0.28,0.44
15,Lohmann tierzucht,Lohmann LSL lite NA,65,455,78.3,1140,196.19,0.7,0.29,0.45
16,Lohmann tierzucht,Lohmann LSL lite NA,69,483,82.13,1196,203.38,0.74,0.3,0.48
17,Lohmann tierzucht,Lohmann LSL lite NA,72,504,84.76,1250,210.22,2.12,0.38,0.55
18,Lohmann tierzucht,Lohmann LSL lite NA,76,532,88.6,1300,216.5,2.21,0.4,0.58
19,Lohmann tierzucht,Lohmann LSL lite NA,80,560,92.4,1349,222.59,2.31,0.42,0.6
20,Lohmann tierzucht,Lohmann LSL lite NA,85,595,98.18,1349,222.59,2.45,0.44,0.64
21,Lohmann tierzucht,Lohmann LSL lite NA,100,700,114.48,1398,228.63,2.86,0.52,0.74
22,Lohmann tierzucht,Lohmann LSL lite NA,106,742,120.35,1445,234.37,3.01,0.54,0.78
23,Lohmann tierzucht,Lohmann LSL lite NA,110,770,123.96,1489,239.7,3.1,0.56,0.81
24,Lohmann tierzucht,Lohmann LSL lite NA,113,791,126.5,1529,244.52,3.16,0.57,0.82
25,Lohmann tierzucht,Lohmann LSL lite NA,114,798,126.85,1566,248.94,3.17,0.57,0.82
26,Lohmann tierzucht,Lohmann LSL lite NA,114,798,125.63,1628,256.3,3.14,0.57,0.82
27,Lohmann tierzucht,Lohmann LSL lite NA,114,798,125.42,1639,257.59,3.14,0.56,0.82
28,Lohmann tierzucht,Lohmann LSL lite NA,114,798,125.3,1645,258.3,3.13,0.56,0.81
29,Lohmann tierzucht,Lohmann LSL lite NA,114,798,125.23,1649,258.77,3.13,0.56,0.81
30,Lohmann tierzucht,Lohmann LSL lite NA,114,798,125.19,1651,259.01,3.13,0.56,0.81
31,Lohmann tierzucht,Lohmann LSL lite NA,114,798,125.15,1653,259.24,3.13,0.56,0.81
32,Lohmann tierzucht,Lohmann LSL lite NA,115,805,126.21,1655,259.48,3.16,0.57,0.82
33,Lohmann tierzucht,Lohmann LSL lite NA,115,805,126.17,1657,259.71,3.15,0.57,0.82
34,Lohmann tierzucht,Lohmann LSL lite NA,115,805,126.15,1658,259.83,3.15,0.57,0.82
35,Lohmann tierzucht,Lohmann LSL lite NA,115,805,126.12,1660,260.06,3.15,0.57,0.82
1,Lohmann tierzucht,Lohmann LSL ultra lite,10,70,24.65,65,22.89,0.26,0.12,0.18
2,Lohmann tierzucht,Lohmann LSL ultra lite,17,119,35.95,120,36.26,0.38,0.17,0.27
3,Lohmann tierzucht,Lohmann LSL ultra lite,23,161,44.27,175,48.11,0.46,0.21,0.33
4,Lohmann tierzucht,Lohmann LSL ultra lite,29,203,51.31,245,61.93,0.51,0.23,0.36
5,Lohmann tierzucht,Lohmann LSL ultra lite,33,231,54.41,325,76.54,0.54,0.24,0.38
6,Lohmann tierzucht,Lohmann LSL ultra lite,37,259,57.91,400,89.44,0.58,0.26,0.41
7,Lohmann tierzucht,Lohmann LSL ultra lite,41,287,60.69,500,105.74,0.61,0.27,0.42
8,Lohmann tierzucht,Lohmann LSL ultra lite,45,315,63.78,595,120.47,0.64,0.29,0.45
9,Lohmann tierzucht,Lohmann LSL ultra lite,48,336,65.68,685,133.9,0.59,0.24,0.38
10,Lohmann tierzucht,Lohmann LSL ultra lite,51,357,67.88,765,145.46,0.61,0.25,0.39
11,Lohmann tierzucht,Lohmann LSL ultra lite,54,378,70.21,840,156.03,0.63,0.26,0.41
12,Lohmann tierzucht,Lohmann LSL ultra lite,57,399,72.65,910,165.68,0.65,0.27,0.42
13,Lohmann tierzucht,Lohmann LSL ultra lite,61,427,76.41,975,174.48,0.69,0.28,0.44
14,Lohmann tierzucht,Lohmann LSL ultra lite,64,448,78.98,1035,182.48,0.71,0.29,0.46
15,Lohmann tierzucht,Lohmann LSL ultra lite,67,469,81.62,1090,189.7,0.73,0.3,0.47
16,Lohmann tierzucht,Lohmann LSL ultra lite,71,497,85.48,1143,196.58,0.77,0.32,0.5
17,Lohmann tierzucht,Lohmann LSL ultra lite,75,525,89.14,1203,204.27,0.8,0.33,0.52
18,Lohmann tierzucht,Lohmann LSL ultra lite,79,553,92.58,1273,213.12,1.85,0.42,0.6
19,Lohmann tierzucht,Lohmann LSL ultra lite,83,581,96.06,1338,221.23,1.92,0.43,0.62
20,Lohmann tierzucht,Lohmann LSL ultra lite,100,700,114.58,1393,228.01,2.29,0.52,0.74
21,Lohmann tierzucht,Lohmann LSL ultra lite,106,742,120.49,1438,233.52,2.41,0.54,0.78
22,Lohmann tierzucht,Lohmann LSL ultra lite,110,770,124.19,1478,238.37,2.48,0.56,0.81
23,Lohmann tierzucht,Lohmann LSL ultra lite,113,791,126.83,1513,242.59,2.54,0.57,0.82
24,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,127.43,1538,245.59,2.55,0.57,0.83
25,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,127.02,1558,247.99,2.54,0.57,0.83
26,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,126.71,1573,249.77,2.53,0.57,4.55
27,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,126.51,1583,250.96,2.53,0.57,4.55
28,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,126.39,1589,251.68,2.53,0.57,4.55
29,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,126.35,1591,251.91,2.53,0.57,4.55
30,Lohmann tierzucht,Lohmann LSL ultra lite,114,798,126.31,1593,252.15,2.53,0.57,4.55
31,Lohmann tierzucht,Lohmann LSL ultra lite,115,805,127.38,1595,252.39,2.55,0.57,4.55
32,Lohmann tierzucht,Lohmann LSL ultra lite,115,805,127.34,1597,252.63,2.55,0.57,4.55
33,Lohmann tierzucht,Lohmann LSL ultra lite,115,805,127.26,1601,253.1,2.55,0.57,4.55
34,Lohmann tierzucht,Lohmann LSL ultra lite,115,805,127.22,1603,253.34,2.54,0.57,4.55
35,Lohmann tierzucht,Lohmann LSL ultra lite,105,735,116.14,1604,253.46,2.32,0.52,4.55
1,Lohmann tierzucht,Lohmann tradition,10,70,23.71,76,25.74,0.25,0.11,0.18
2,Lohmann tierzucht,Lohmann tradition,17,119,35.11,132,38.94,0.37,0.17,0.26
3,Lohmann tierzucht,Lohmann tradition,22,154,41.05,198,52.78,0.43,0.2,0.31
4,Lohmann tierzucht,Lohmann tradition,28,196,47.91,280,68.45,0.48,0.22,0.34
5,Lohmann tierzucht,Lohmann tradition,35,245,55.75,373,84.88,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann tradition,41,287,61.22,483,103.03,0.61,0.28,0.43
7,Lohmann tierzucht,Lohmann tradition,48,336,68.09,593,120.17,0.68,0.31,0.48
8,Lohmann tierzucht,Lohmann tradition,52,364,70.84,697,135.65,0.71,0.32,0.5
9,Lohmann tierzucht,Lohmann tradition,56,392,73.8,796,149.86,0.66,0.27,0.43
10,Lohmann tierzucht,Lohmann tradition,59,413,75.61,890,162.95,0.68,0.28,0.44
11,Lohmann tierzucht,Lohmann tradition,61,427,76.36,978,174.89,0.69,0.28,0.44
12,Lohmann tierzucht,Lohmann tradition,64,448,78.48,1062,186.03,0.71,0.29,0.46
13,Lohmann tierzucht,Lohmann tradition,66,462,79.46,1143,196.58,0.72,0.29,0.46
14,Lohmann tierzucht,Lohmann tradition,68,476,80.56,1219,206.3,0.73,0.3,0.47
15,Lohmann tierzucht,Lohmann tradition,69,483,80.64,1287,214.87,0.73,0.3,0.47
16,Lohmann tierzucht,Lohmann tradition,72,504,83.09,1354,223.21,0.75,0.31,0.48
17,Lohmann tierzucht,Lohmann tradition,74,518,84.29,1426,232.05,1.69,0.38,0.55
18,Lohmann tierzucht,Lohmann tradition,77,539,86.58,1502,241.27,1.73,0.39,0.56
19,Lohmann tierzucht,Lohmann tradition,83,581,92.11,1583,250.96,1.84,0.41,0.6
20,Lohmann tierzucht,Lohmann tradition,96,672,105.12,1670,261.24,2.1,0.47,0.68
21,Lohmann tierzucht,Lohmann tradition,100,700,108.35,1742,269.64,2.17,0.49,0.7
22,Lohmann tierzucht,Lohmann tradition,106,742,113.56,1823,278.99,2.27,0.51,0.74
23,Lohmann tierzucht,Lohmann tradition,110,770,117.12,1868,284.14,2.34,0.53,0.76
24,Lohmann tierzucht,Lohmann tradition,113,791,119.71,1906,288.46,2.39,0.54,0.78
25,Lohmann tierzucht,Lohmann tradition,114,798,120.52,1922,290.28,2.41,0.54,0.78
26,Lohmann tierzucht,Lohmann tradition,114,798,120.32,1935,291.75,2.41,0.54,0.78
27,Lohmann tierzucht,Lohmann tradition,114,798,120.24,1940,292.32,2.4,0.54,0.78
28,Lohmann tierzucht,Lohmann tradition,114,798,121.74,1846,281.63,2.43,0.55,0.79
29,Lohmann tierzucht,Lohmann tradition,114,798,120.07,1951,293.56,2.4,0.54,0.78
30,Lohmann tierzucht,Lohmann tradition,114,798,120.01,1955,294.01,2.4,0.54,0.78
31,Lohmann tierzucht,Lohmann tradition,114,798,119.96,1958,294.35,2.4,0.54,0.78
32,Lohmann tierzucht,Lohmann tradition,115,805,120.97,1961,294.69,2.42,0.54,0.79
33,Lohmann tierzucht,Lohmann tradition,115,805,120.92,1964,295.02,2.42,0.54,0.79
34,Lohmann tierzucht,Lohmann tradition,115,805,120.88,1967,295.36,2.42,0.54,0.79
35,Lohmann tierzucht,Lohmann tradition,115,805,120.83,1970,295.7,2.42,0.54,0.79
